time	V(in)
0.000000000000000e+000	0.000000e+000
4.571428315257112e-010	2.872346e-005
9.142856630514224e-010	5.744617e-005
1.371428494577134e-009	8.616812e-005
1.828571326102845e-009	1.148893e-004
2.285714157628556e-009	1.436098e-004
2.742856989154267e-009	1.723294e-004
3.199999820679977e-009	2.010484e-004
6.399999641359955e-009	4.020155e-004
1.128281214135995e-008	7.083263e-004
1.616562464135995e-008	1.013971e-003
2.104843714135995e-008	1.318660e-003
2.593124964135995e-008	1.622109e-003
3.081406214135995e-008	1.924031e-003
3.569687464135995e-008	2.224143e-003
4.057968714135995e-008	2.522161e-003
4.546249964135995e-008	2.817805e-003
5.034531214135995e-008	3.110797e-003
5.522812464135995e-008	3.400862e-003
6.011093714135995e-008	3.687726e-003
6.499374964135995e-008	3.971118e-003
7.475937464135995e-008	4.526429e-003
8.452499964135995e-008	5.064703e-003
9.429062464135995e-008	5.583914e-003
1.040562496413600e-007	6.082109e-003
1.187046871413599e-007	6.785917e-003
1.333531246413600e-007	7.432280e-003
1.445138389270743e-007	7.887050e-003
1.556745532127886e-007	8.298623e-003
1.668352674985029e-007	8.666997e-003
1.779959817842173e-007	8.992172e-003
1.891566960699316e-007	9.274150e-003
2.003174103556459e-007	9.512929e-003
2.114781246413602e-007	9.708510e-003
2.261265621413602e-007	9.886962e-003
2.407749996413603e-007	9.981805e-003
2.554234371413603e-007	9.993040e-003
2.700718746413603e-007	9.920667e-003
2.847203121413604e-007	9.764685e-003
2.993687496413604e-007	9.525094e-003
3.140171871413604e-007	9.201895e-003
3.272705353556462e-007	8.835636e-003
3.405238835699319e-007	8.416489e-003
3.537772317842177e-007	7.944453e-003
3.670305799985035e-007	7.419529e-003
3.802839282127892e-007	6.841716e-003
3.935372764270750e-007	6.211016e-003
4.067906246413607e-007	5.527426e-003
4.186488835699321e-007	4.882116e-003
4.305071424985036e-007	4.219200e-003
4.423654014270751e-007	3.538679e-003
4.542236603556466e-007	2.840553e-003
4.660819192842180e-007	2.124821e-003
4.779401782127895e-007	1.391485e-003
4.897984371413609e-007	6.405443e-004
5.009591514270752e-007	-6.875487e-005
5.121198657127896e-007	-7.692363e-004
5.232805799985038e-007	-1.460900e-003
5.344412942842182e-007	-2.143746e-003
5.456020085699325e-007	-2.817774e-003
5.567627228556468e-007	-3.482985e-003
5.679234371413611e-007	-4.139377e-003
5.790841514270754e-007	-4.773914e-003
5.902448657127898e-007	-5.378005e-003
6.014055799985040e-007	-5.951648e-003
6.125662942842184e-007	-6.494845e-003
6.237270085699327e-007	-7.007595e-003
6.348877228556471e-007	-7.489897e-003
6.460484371413613e-007	-7.941754e-003
6.544189728556471e-007	-8.251947e-003
6.627895085699328e-007	-8.537547e-003
6.711600442842186e-007	-8.798553e-003
6.795305799985042e-007	-9.034965e-003
6.879011157127900e-007	-9.246784e-003
6.962716514270758e-007	-9.434009e-003
7.046421871413615e-007	-9.596640e-003
7.192906246413615e-007	-9.814424e-003
7.290562496413615e-007	-9.913574e-003
7.388218746413616e-007	-9.975250e-003
7.485874996413616e-007	-9.999450e-003
7.583531246413616e-007	-9.986174e-003
7.681187496413616e-007	-9.935423e-003
7.778843746413617e-007	-9.847196e-003
7.876499996413617e-007	-9.721494e-003
8.029959817842189e-007	-9.439459e-003
8.183419639270760e-007	-9.080198e-003
8.336879460699332e-007	-8.643711e-003
8.490339282127904e-007	-8.129997e-003
8.643799103556477e-007	-7.539058e-003
8.797258924985049e-007	-6.870893e-003
8.950718746413620e-007	-6.125501e-003
9.083252228556477e-007	-5.433627e-003
9.215785710699335e-007	-4.717018e-003
9.348319192842191e-007	-3.975675e-003
9.480852674985049e-007	-3.209597e-003
9.613386157127907e-007	-2.418786e-003
9.745919639270764e-007	-1.603240e-003
9.878453121413621e-007	-7.629594e-004
9.990060264270765e-007	-5.394765e-005
1.010166740712791e-006	6.468372e-004
1.021327454998505e-006	1.339395e-003
1.032488169284219e-006	2.023726e-003
1.043648883569934e-006	2.699830e-003
1.054809597855648e-006	3.367707e-003
1.065970312141362e-006	4.027357e-003
1.075735937141362e-006	4.585803e-003
1.085501562141362e-006	5.122188e-003
1.095267187141362e-006	5.636512e-003
1.105032812141362e-006	6.128774e-003
1.114798437141362e-006	6.598974e-003
1.124564062141363e-006	7.047114e-003
1.134329687141363e-006	7.473192e-003
1.142002678212791e-006	7.786260e-003
1.149675669284220e-006	8.079665e-003
1.157348660355648e-006	8.353407e-003
1.165021651427077e-006	8.607485e-003
1.172694642498505e-006	8.841901e-003
1.180367633569934e-006	9.056652e-003
1.188040624641363e-006	9.251741e-003
1.196411160355648e-006	9.439295e-003
1.204781696069934e-006	9.599856e-003
1.213152231784220e-006	9.733424e-003
1.221522767498506e-006	9.839999e-003
1.229893303212791e-006	9.919580e-003
1.238263838927077e-006	9.972169e-003
1.246634374641363e-006	9.997765e-003
1.259887722855649e-006	9.977397e-003
1.273141071069934e-006	9.890742e-003
1.286394419284220e-006	9.737800e-003
1.299647767498506e-006	9.518570e-003
1.312901115712791e-006	9.233054e-003
1.326154463927077e-006	8.881250e-003
1.339407812141363e-006	8.463158e-003
1.352661160355649e-006	7.980310e-003
1.365914508569935e-006	7.452232e-003
1.379167856784220e-006	6.878924e-003
1.392421204998506e-006	6.260385e-003
1.405674553212792e-006	5.596616e-003
1.418927901427078e-006	4.887618e-003
1.432181249641363e-006	4.133388e-003
1.443341963927078e-006	3.476819e-003
1.454502678212792e-006	2.811463e-003
1.465663392498506e-006	2.137321e-003
1.476824106784221e-006	1.454393e-003
1.487984821069935e-006	7.626786e-004
1.499145535355649e-006	6.217820e-005
1.510306249641364e-006	-6.471083e-004
1.522862053212792e-006	-1.443177e-003
1.535417856784221e-006	-2.218591e-003
1.547973660355649e-006	-2.973348e-003
1.560529463927078e-006	-3.707450e-003
1.573085267498507e-006	-4.420896e-003
1.585641071069935e-006	-5.113686e-003
1.598196874641364e-006	-5.785821e-003
1.606567410355649e-006	-6.209175e-003
1.614937946069935e-006	-6.612731e-003
1.623308481784221e-006	-6.996487e-003
1.631679017498507e-006	-7.360444e-003
1.640049553212793e-006	-7.704602e-003
1.648420088927078e-006	-8.028961e-003
1.656790624641364e-006	-8.333520e-003
1.664463615712792e-006	-8.591403e-003
1.672136606784221e-006	-8.828092e-003
1.679809597855650e-006	-9.043587e-003
1.687482588927078e-006	-9.237887e-003
1.695155579998507e-006	-9.410992e-003
1.702828571069936e-006	-9.562904e-003
1.710501562141364e-006	-9.693621e-003
1.720964731784221e-006	-9.834388e-003
1.731427901427078e-006	-9.932159e-003
1.741891071069936e-006	-9.986935e-003
1.752354240712793e-006	-9.998715e-003
1.762817410355650e-006	-9.967500e-003
1.773280579998507e-006	-9.893289e-003
1.783743749641364e-006	-9.776082e-003
1.799089731784221e-006	-9.517304e-003
1.814435713927079e-006	-9.180097e-003
1.829781696069936e-006	-8.764462e-003
1.845127678212793e-006	-8.270399e-003
1.860473660355650e-006	-7.697907e-003
1.875819642498507e-006	-7.046987e-003
1.891165624641365e-006	-6.317638e-003
1.904418972855650e-006	-5.637943e-003
