time	V(out)
0.000000000000000e+000	2.499951e-007
1.142857156212683e-007	-1.706519e-005
2.285714312425366e-007	-4.347484e-005
3.428571468638050e-007	-7.897895e-005
4.571428624850733e-007	-1.235775e-004
5.714285781063416e-007	-1.772706e-004
6.857142937276099e-007	-2.400581e-004
8.000000093488779e-007	-3.119400e-004
1.600000018697756e-006	-7.886349e-004
7.799721113085698e-006	-4.693344e-003
1.399944220747364e-005	-8.576907e-003
2.019916330186159e-005	-1.243932e-002
2.639888439624953e-005	-1.628060e-002
3.259860549063748e-005	-2.010072e-002
3.879832658502542e-005	-2.389970e-002
4.499804767941335e-005	-2.767754e-002
5.685630660798478e-005	-3.484175e-002
6.871456553655622e-005	-4.172185e-002
8.057282446512767e-005	-4.831785e-002
9.243108339369910e-005	-5.462973e-002
1.042893423222705e-004	-6.065750e-002
1.161476012508420e-004	-6.640117e-002
1.280058601794134e-004	-7.186072e-002
1.489321994651277e-004	-8.055431e-002
1.698585387508420e-004	-8.763411e-002
1.907848780365563e-004	-9.310015e-002
2.117112173222706e-004	-9.695240e-002
2.326375566079849e-004	-9.919088e-002
2.535638958936992e-004	-9.981557e-002
2.744902351794135e-004	-9.882650e-002
2.912313066079850e-004	-9.656331e-002
3.079723780365564e-004	-9.335242e-002
3.247134494651278e-004	-8.919382e-002
3.414545208936993e-004	-8.408752e-002
3.581955923222707e-004	-7.803350e-002
3.749366637508422e-004	-7.103178e-002
3.916777351794136e-004	-6.308235e-002
4.021409048222708e-004	-5.778816e-002
4.126040744651279e-004	-5.230591e-002
4.230672441079851e-004	-4.663560e-002
4.335304137508422e-004	-4.077724e-002
4.439935833936994e-004	-3.473083e-002
4.544567530365565e-004	-2.849636e-002
4.649199226794137e-004	-2.207384e-002
4.705002798222708e-004	-1.863145e-002
4.760806369651279e-004	-1.517683e-002
4.816609941079851e-004	-1.170996e-002
4.872413512508422e-004	-8.230847e-003
4.928217083936993e-004	-4.739495e-003
4.984020655365565e-004	-1.235901e-003
5.039824226794137e-004	2.279936e-003
5.116554137508423e-004	7.121560e-003
5.193284048222708e-004	1.191907e-002
5.270013958936994e-004	1.667246e-002
5.346743869651280e-004	2.138173e-002
5.423473780365566e-004	2.604689e-002
5.500203691079851e-004	3.066793e-002
5.576933601794137e-004	3.524485e-002
5.702491637508423e-004	4.260894e-002
5.828049673222708e-004	4.960592e-002
5.953607708936994e-004	5.623580e-002
6.079165744651280e-004	6.249858e-002
6.204723780365567e-004	6.839426e-002
6.330281816079853e-004	7.392283e-002
6.455839851794138e-004	7.908430e-002
6.762759494651281e-004	8.946268e-002
7.069679137508424e-004	9.628243e-002
7.376598780365568e-004	9.954356e-002
7.683518423222711e-004	9.924606e-002
7.990438066079854e-004	9.538993e-002
