time	V(out)
0.000000000000000e+000	2.499951e-007
4.571428315257112e-010	2.838049e-007
9.142856630514224e-010	3.079991e-007
1.371428494577134e-009	3.225777e-007
1.828571326102845e-009	3.275406e-007
2.285714157628556e-009	3.228880e-007
2.742856989154267e-009	3.086196e-007
3.199999820679977e-009	2.847357e-007
6.399999641359955e-009	-3.700401e-006
1.128281214135995e-008	-2.476963e-005
1.616562464135995e-008	-7.211335e-005
2.104843714135995e-008	-1.544769e-004
2.593124964135995e-008	-2.754574e-004
3.081406214135995e-008	-4.362755e-004
3.569687464135995e-008	-6.370620e-004
4.057968714135995e-008	-8.774399e-004
4.546249964135995e-008	-1.156788e-003
5.034531214135995e-008	-1.474358e-003
5.522812464135995e-008	-1.829331e-003
6.011093714135995e-008	-2.220841e-003
6.499374964135995e-008	-2.647984e-003
7.475937464135995e-008	-3.605419e-003
8.452499964135995e-008	-4.693867e-003
9.429062464135995e-008	-5.905172e-003
1.040562496413600e-007	-7.230834e-003
1.187046871413599e-007	-9.414360e-003
1.333531246413600e-007	-1.180430e-002
1.445138389270743e-007	-1.378168e-002
1.556745532127886e-007	-1.580791e-002
1.668352674985029e-007	-1.788300e-002
1.779959817842173e-007	-2.000694e-002
1.891566960699316e-007	-2.217974e-002
2.003174103556459e-007	-2.440138e-002
2.114781246413602e-007	-2.667188e-002
2.261265621413602e-007	-2.967132e-002
2.407749996413603e-007	-3.255005e-002
2.554234371413603e-007	-3.530808e-002
2.700718746413603e-007	-3.794541e-002
2.847203121413604e-007	-4.046204e-002
2.993687496413604e-007	-4.285796e-002
3.140171871413604e-007	-4.513318e-002
3.272705353556462e-007	-4.696785e-002
3.405238835699319e-007	-4.856998e-002
3.537772317842177e-007	-4.993958e-002
3.670305799985035e-007	-5.107663e-002
3.802839282127892e-007	-5.198115e-002
3.935372764270750e-007	-5.265313e-002
4.067906246413607e-007	-5.309257e-002
4.186488835699321e-007	-5.323419e-002
4.305071424985036e-007	-5.315692e-002
4.423654014270751e-007	-5.286075e-002
4.542236603556466e-007	-5.234570e-002
4.660819192842180e-007	-5.161175e-002
4.779401782127895e-007	-5.065891e-002
4.897984371413609e-007	-4.948719e-002
5.009591514270752e-007	-4.817653e-002
5.121198657127896e-007	-4.669993e-002
5.232805799985038e-007	-4.505739e-002
5.344412942842182e-007	-4.324891e-002
5.456020085699325e-007	-4.127450e-002
5.567627228556468e-007	-3.913414e-002
5.679234371413611e-007	-3.682784e-002
5.790841514270754e-007	-3.437455e-002
5.902448657127898e-007	-3.182509e-002
6.014055799985040e-007	-2.917946e-002
6.125662942842184e-007	-2.643766e-002
6.237270085699327e-007	-2.359969e-002
6.348877228556471e-007	-2.066555e-002
6.460484371413613e-007	-1.763523e-002
6.544189728556471e-007	-1.533675e-002
6.627895085699328e-007	-1.303032e-002
6.711600442842186e-007	-1.071594e-002
6.795305799985042e-007	-8.393619e-003
6.879011157127900e-007	-6.063350e-003
6.962716514270758e-007	-3.725135e-003
7.046421871413615e-007	-1.378974e-003
7.192906246413615e-007	2.665354e-003
7.290562496413615e-007	5.345750e-003
7.388218746413616e-007	7.962119e-003
7.485874996413616e-007	1.051446e-002
7.583531246413616e-007	1.300278e-002
7.681187496413616e-007	1.542706e-002
7.778843746413617e-007	1.778732e-002
