time	V(in)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	7.180788e-006
2.285714312425366e-007	1.436156e-005
3.428571468638050e-007	2.154233e-005
4.571428624850733e-007	2.872308e-005
5.714285781063416e-007	3.590382e-005
6.857142937276099e-007	4.308455e-005
8.000000093488779e-007	5.026527e-005
1.600000018697756e-006	1.005293e-004
7.783600527874437e-006	4.903060e-004
1.396720103705112e-005	8.778932e-004
2.015080154622780e-005	1.263291e-003
2.633440205540449e-005	1.646498e-003
3.251800256458117e-005	2.027517e-003
3.870160307375785e-005	2.406345e-003
4.488520358293452e-005	2.782984e-003
5.674346251150595e-005	3.499230e-003
6.860172144007739e-005	4.186987e-003
8.045998036864883e-005	4.846254e-003
9.231823929722027e-005	5.477031e-003
1.041764982257917e-004	6.079319e-003
1.160347571543632e-004	6.653117e-003
1.278930160829346e-004	7.198426e-003
1.488193553686489e-004	8.066416e-003
1.697456946543632e-004	8.772909e-003
1.906720339400775e-004	9.317906e-003
2.115983732257918e-004	9.701406e-003
2.325247125115061e-004	9.923410e-003
2.534510517972204e-004	9.983917e-003
2.743773910829347e-004	9.882928e-003
2.911184625115061e-004	9.654959e-003
3.078595339400775e-004	9.332278e-003
3.246006053686490e-004	8.914883e-003
3.413416767972205e-004	8.402775e-003
3.580827482257919e-004	7.795954e-003
3.748238196543634e-004	7.094420e-003
3.915648910829348e-004	6.298172e-003
4.020280607257919e-004	5.768012e-003
4.124912303686491e-004	5.219100e-003
4.229544000115063e-004	4.651436e-003
4.334175696543634e-004	4.065020e-003
4.438807392972206e-004	3.459852e-003
4.543439089400777e-004	2.835932e-003
4.648070785829348e-004	2.193260e-003
4.703874357257920e-004	1.848826e-003
4.759677928686491e-004	1.503185e-003
4.815481500115063e-004	1.156339e-003
4.871285071543634e-004	8.082860e-004
4.927088642972205e-004	4.590271e-004
4.982892214400777e-004	1.085622e-004
5.038695785829348e-004	-2.431088e-004
5.115425696543634e-004	-7.273606e-004
5.192155607257919e-004	-1.207165e-003
5.268885517972205e-004	-1.682522e-003
5.345615428686491e-004	-2.153433e-003
5.422345339400778e-004	-2.619896e-003
5.499075250115063e-004	-3.081912e-003
5.575805160829349e-004	-3.539480e-003
5.701363196543635e-004	-4.275604e-003
5.826921232257921e-004	-4.974933e-003
5.952479267972206e-004	-5.637468e-003
6.078037303686492e-004	-6.263208e-003
6.203595339400778e-004	-6.852153e-003
6.329153375115063e-004	-7.404303e-003
6.454711410829349e-004	-7.919659e-003
6.761631053686493e-004	-8.955043e-003
7.068550696543636e-004	-9.634483e-003
7.375470339400779e-004	-9.957977e-003
7.682389982257923e-004	-9.925527e-003
