Freq.	V(out)/V(in)
1.00000000000000e-001	-1.01068293809539e-005,-1.00530684250228e-002
1.12201845430196e-001	-1.27237410119928e-005,-1.12797253439618e-002
1.25892541179417e-001	-1.60182356179965e-005,-1.26560558265996e-002
1.41253754462275e-001	-2.01657555111561e-005,-1.42003223075625e-002
1.58489319246111e-001	-2.53871688106210e-005,-1.59330153683191e-002
1.77827941003892e-001	-3.19605309487525e-005,-1.78771255267374e-002
1.99526231496888e-001	-4.02358913024030e-005,-2.00584481547197e-002
2.23872113856834e-001	-5.06539332762228e-005,-2.25059255516103e-002
2.51188643150958e-001	-6.37694402049557e-005,-2.52520306865154e-002
2.81838293126445e-001	-8.02808362671951e-005,-2.83331976648934e-002
3.16227766016838e-001	-1.01067374854995e-004,-3.17903045796442e-002
3.54813389233575e-001	-1.27235953679318e-004,-3.56692150806747e-002
3.98107170553497e-001	-1.60180047885519e-004,-4.00213857458954e-002
4.46683592150963e-001	-2.01653896728092e-004,-4.49045471671321e-002
5.01187233627272e-001	-2.53865889992443e-004,-5.03834675823858e-002
5.62341325190348e-001	-3.19596120162903e-004,-5.65308088962086e-002
6.30957344480192e-001	-4.02344349058510e-004,-6.34280860358330e-002
7.07945784384137e-001	-5.06516250696825e-004,-7.11667417923632e-002
7.94328234724280e-001	-6.37657819968776e-004,-7.98493505893608e-002
8.91250938133744e-001	-8.02750385033711e-004,-8.95909659939501e-002
9.99999999999999e-001	-1.01058186228583e-003,-1.00520628215787e-001
1.12201845430196e+000	-1.27221391106862e-003,-1.12783049288660e-001
1.25892541179417e+000	-1.60156968599523e-003,-1.26540495036720e-001
1.41253754462275e+000	-2.01617320192646e-003,-1.41974884197460e-001
1.58489319246111e+000	-2.53807923417832e-003,-1.59290126063461e-001
1.77827941003892e+000	-3.19504255971696e-003,-1.78714718502787e-001
1.99526231496888e+000	-4.02198767370379e-003,-2.00504627914089e-001
2.23872113856834e+000	-5.06285545688915e-003,-2.24946471119320e-001
2.51188643150958e+000	-6.37292229871719e-003,-2.52361015752232e-001
2.81838293126445e+000	-8.02171068895473e-003,-2.83107009449965e-001
3.16227766016837e+000	-1.00966391774085e-002,-3.17585337804113e-001
3.54813389233575e+000	-1.27075948513465e-002,-3.56243494757272e-001
3.98107170553496e+000	-1.59926541000874e-002,-3.99580324400347e-001
4.46683592150962e+000	-2.01252283295586e-002,-4.48150956411795e-001
5.01187233627271e+000	-2.53229710295231e-002,-5.02571803840092e-001
5.62341325190348e+000	-3.18588510316926e-002,-5.63525414979201e-001
6.30957344480192e+000	-4.00748723995740e-002,-6.31764861887163e-001
7.07945784384136e+000	-5.03990002016417e-002,-7.08117195004726e-001
7.94328234724279e+000	-6.33659253987438e-002,-7.93485281370322e-001
8.91250938133743e+000	-7.96423565893660e-002,-8.88847054518504e-001
9.99999999999997e+000	-1.00057536457695e-001,-9.95250815460534e-001
1.12201845430196e+001	-1.25639605932072e-001,-1.11380471282428e+000
1.25892541179416e+001	-1.57658216089037e-001,-1.24565787575520e+000
1.41253754462275e+001	-1.97673322116254e-001,-1.39196986689961e+000
1.58489319246111e+001	-2.47589249920275e-001,-1.55386418473663e+000
1.77827941003892e+001	-3.09711722017778e-001,-1.73236055219026e+000
1.99526231496887e+001	-3.86803340092329e-001,-1.92827986223347e+000
2.23872113856833e+001	-4.82129807866692e-001,-2.14211525940428e+000
2.51188643150957e+001	-5.99484763937210e-001,-2.37386351523013e+000
2.81838293126444e+001	-7.43175527456220e-001,-2.62281352274133e+000
3.16227766016837e+001	-9.17945888544931e-001,-2.88729463479735e+000
3.54813389233574e+001	-1.12880675278252e+000,-3.16439809813888e+000
3.98107170553496e+001	-1.38074377718283e+000,-3.44970100062943e+000
4.46683592150961e+001	-1.67827747710350e+000,-3.73704350039765e+000
5.01187233627270e+001	-2.02487098650800e+000,-4.01843310130587e+000
5.62341325190347e+001	-2.42221792622329e+000,-4.28416611372582e+000
6.30957344480191e+001	-2.86949664502580e+000,-4.52325301564248e+000
7.07945784384135e+001	-3.36273609573591e+000,-4.72419662556011e+000
7.94328234724278e+001	-3.89447863808963e+000,-4.87609255100393e+000
8.91250938133742e+001	-4.45391478158163e+000,-4.96991199169231e+000
9.99999999999995e+001	-5.02758247508601e+000,-4.99972459888749e+000
1.12201845430196e+002	-5.60057814683483e+000,-4.96357588917004e+000
1.25892541179416e+002	-6.15806748523711e+000,-4.86378848582463e+000
1.41253754462275e+002	-6.68678148675623e+000,-4.70660359370461e+000
1.58489319246111e+002	-7.17618847376968e+000,-4.50126192689028e+000
1.77827941003891e+002	-7.61914294940222e+000,-4.25876389214024e+000
1.99526231496887e+002	-8.01197293762204e+000,-3.99059432510519e+000
2.23872113856833e+002	-8.35410870607770e+000,-3.70764660206730e+000
2.51188643150957e+002	-8.64743155489445e+000,-3.41947590615121e+000
2.81838293126444e+002	-8.89552598644423e+000,-3.13390356724973e+000
3.16227766016836e+002	-9.10297560815926e+000,-2.85691852699021e+000
