time	V(out)
0.000000000000000e+000	2.499995e-007
4.464285687154149e-011	2.693141e-006
8.928571374308298e-011	9.398552e-006
1.339285706146245e-010	2.036624e-005
1.785714274861660e-010	3.559619e-005
2.232142843577075e-010	5.508841e-005
2.678571412292489e-010	7.884291e-005
3.124999981007903e-010	1.068597e-004
6.249999962015806e-010	3.796898e-004
1.000000000000000e-009	8.278938e-004
1.262500002658894e-009	1.221234e-003
1.562500005697629e-009	1.625994e-003
2.162500011775100e-009	2.312678e-003
3.362500023930042e-009	3.366991e-003
4.784952977123540e-009	4.211417e-003
6.528686953630634e-009	4.801048e-003
8.416451026388139e-009	5.084947e-003
1.074682221605759e-008	5.139708e-003
1.340054374688158e-008	5.002272e-003
1.680366646254235e-008	4.692150e-003
2.093848386871672e-008	4.260730e-003
2.661216061284115e-008	3.683794e-003
3.447503279662883e-008	2.986098e-003
4.844533385203604e-008	1.976012e-003
6.193767002728631e-008	1.221343e-003
7.910606519888367e-008	5.069201e-004
9.756042729812314e-008	-6.797151e-005
1.202033731975923e-007	-5.999813e-004
1.450740470875701e-007	-1.058604e-003
1.765196055483334e-007	-1.538136e-003
2.135867675814697e-007	-2.037673e-003
2.635288200013111e-007	-2.665445e-003
4.301962825414114e-007	-4.678397e-003
9.300341269668232e-007	-1.054588e-002
1.418315376966823e-006	-1.611717e-002
1.906596626966823e-006	-2.153569e-002
2.394877876966823e-006	-2.679260e-002
3.371440376966823e-006	-3.684051e-002
4.348002876966824e-006	-4.629738e-002
5.812846626966825e-006	-5.944907e-002
7.277690376966827e-006	-7.145539e-002
8.742534126966828e-006	-8.241473e-002
1.020737787696683e-005	-9.225265e-002
1.167222162696683e-005	-1.013856e-001
1.313706537696683e-005	-1.098136e-001
1.460190912696684e-005	-1.175366e-001
1.606675287696684e-005	-1.245547e-001
1.753159662696684e-005	-1.308677e-001
1.899644037696684e-005	-1.364758e-001
2.046128412696684e-005	-1.416376e-001
2.192612787696684e-005	-1.464235e-001
2.339097162696684e-005	-1.508336e-001
2.485581537696684e-005	-1.548677e-001
2.632065912696685e-005	-1.585260e-001
2.778550287696685e-005	-1.618084e-001
2.925034662696685e-005	-1.647149e-001
3.078494484125256e-005	-1.675001e-001
3.231954305553828e-005	-1.700685e-001
3.385414126982399e-005	-1.724200e-001
3.538873948410971e-005	-1.745546e-001
3.692333769839542e-005	-1.764724e-001
3.845793591268114e-005	-1.781734e-001
3.999253412696685e-005	-1.796575e-001
4.142231496597159e-005	-1.809230e-001
4.285209580497633e-005	-1.820894e-001
4.428187664398106e-005	-1.831567e-001
4.571165748298580e-005	-1.841250e-001
4.714143832199054e-005	-1.849943e-001
4.857121916099527e-005	-1.857645e-001
5.000100000000001e-005	-1.864356e-001
5.000108545403384e-005	-1.864529e-001
5.000125636210151e-005	-1.865246e-001
5.000159817823684e-005	-1.868009e-001
5.000200000000000e-005	-1.872677e-001
5.000212054652895e-005	-1.874528e-001
5.000228127523422e-005	-1.876874e-001
5.000260273264475e-005	-1.881161e-001
5.000324564746582e-005	-1.888353e-001
5.000453147710795e-005	-1.899262e-001
5.000594530179290e-005	-1.907233e-001
5.000774766942503e-005	-1.912880e-001
5.000963203751965e-005	-1.915407e-001
5.001204390377675e-005	-1.915720e-001
5.001471284251627e-005	-1.914195e-001
5.001824555335444e-005	-1.910898e-001
5.002244582549727e-005	-1.906522e-001
5.002838444359887e-005	-1.900569e-001
5.003653603689677e-005	-1.893535e-001
5.005193636659121e-005	-1.882871e-001
5.006631908919192e-005	-1.875325e-001
5.008599368876581e-005	-1.867796e-001
5.010377831483726e-005	-1.862749e-001
5.012852888177222e-005	-1.857474e-001
5.015333811740615e-005	-1.853269e-001
5.018825985211145e-005	-1.848324e-001
5.022634074811757e-005	-1.843486e-001
5.028267523804681e-005	-1.836744e-001
5.035278868649220e-005	-1.828557e-001
5.184886531432420e-005	-1.665817e-001
5.334494194215620e-005	-1.514694e-001
5.484101856998820e-005	-1.375187e-001
5.633709519782019e-005	-1.247297e-001
5.783317182565220e-005	-1.131022e-001
5.932924845348419e-005	-1.026365e-001
6.082532508131619e-005	-9.333238e-002
6.229016883131618e-005	-8.492832e-002
6.375501258131619e-005	-7.711595e-002
6.521985633131619e-005	-6.989529e-002
6.668470008131619e-005	-6.326632e-002
6.814954383131619e-005	-5.722905e-002
6.961438758131619e-005	-5.178349e-002
7.107923133131619e-005	-4.692962e-002
7.247432061703048e-005	-4.264883e-002
7.386940990274477e-005	-3.865832e-002
7.526449918845906e-005	-3.495807e-002
7.665958847417335e-005	-3.154810e-002
7.805467775988762e-005	-2.842840e-002
7.944976704560191e-005	-2.559898e-002
8.084485633131620e-005	-2.305982e-002
8.223994561703049e-005	-2.070992e-002
8.363503490274478e-005	-1.851952e-002
8.503012418845907e-005	-1.648861e-002
8.642521347417336e-005	-1.461721e-002
8.782030275988763e-005	-1.290532e-002
8.921539204560192e-005	-1.135292e-002
9.061048133131621e-005	-9.960027e-003
9.195184114112819e-005	-8.718003e-003
9.329320095094015e-005	-7.557614e-003
9.463456076075213e-005	-6.478862e-003
9.597592057056409e-005	-5.481744e-003
9.731728038037607e-005	-4.566263e-003
9.865864019018804e-005	-3.732418e-003
1.000000000000000e-004	-2.980208e-003
1.000000978695475e-004	-2.957555e-003
1.000002936086424e-004	-2.870243e-003
1.000006085218101e-004	-2.608025e-003
1.000010000000000e-004	-2.146112e-003
1.000012740347329e-004	-1.736770e-003
1.000015872172848e-004	-1.317423e-003
1.000022135823886e-004	-6.108441e-004
1.000034663125962e-004	4.660665e-004
1.000048825608752e-004	1.280479e-003
1.000066620407693e-004	1.854991e-003
1.000085465357022e-004	2.119730e-003
1.000109261958559e-004	2.160716e-003
1.000135873589944e-004	2.014735e-003
1.000170680556726e-004	1.693690e-003
1.000212390948960e-004	1.259905e-003
1.000270691622386e-004	6.735812e-004
1.000350956824936e-004	-2.488929e-005
1.000498812192661e-004	-1.064899e-003
1.000634835665888e-004	-1.799789e-003
1.000807658923167e-004	-2.489019e-003
1.000993524915098e-004	-3.042339e-003
1.001223829836489e-004	-3.558014e-003
1.001476060136931e-004	-4.000405e-003
1.001796880077465e-004	-4.465378e-003
1.002174771055819e-004	-4.949907e-003
1.002688113655837e-004	-5.564784e-003
1.006185322829699e-004	-9.560440e-003
1.009714421946307e-004	-1.348901e-002
1.014597234446308e-004	-1.879974e-002
1.019480046946308e-004	-2.396320e-002
1.029245671946308e-004	-3.383256e-002
1.039011296946308e-004	-4.312147e-002
1.048776921946308e-004	-5.186365e-002
1.063425359446308e-004	-6.402083e-002
1.078073796946308e-004	-7.511854e-002
1.092722234446308e-004	-8.508145e-002
1.107370671946308e-004	-9.433096e-002
1.122019109446308e-004	-1.028671e-001
1.136667546946308e-004	-1.106898e-001
1.151315984446308e-004	-1.177992e-001
1.165964421946308e-004	-1.241951e-001
1.180612859446308e-004	-1.298777e-001
1.195261296946308e-004	-1.351086e-001
1.209909734446308e-004	-1.399591e-001
1.224558171946308e-004	-1.444293e-001
1.239206609446308e-004	-1.485191e-001
1.253855046946308e-004	-1.522286e-001
1.268503484446308e-004	-1.555576e-001
1.283151921946308e-004	-1.585063e-001
1.298497904089165e-004	-1.613326e-001
1.313843886232022e-004	-1.639394e-001
1.329189868374879e-004	-1.663268e-001
1.344535850517736e-004	-1.684947e-001
1.359881832660593e-004	-1.704432e-001
1.375227814803451e-004	-1.721723e-001
1.390573796946308e-004	-1.736819e-001
1.406207540239692e-004	-1.750797e-001
1.421841283533077e-004	-1.763607e-001
1.437475026826462e-004	-1.775248e-001
1.453108770119846e-004	-1.785721e-001
1.468742513413231e-004	-1.795026e-001
1.484376256706615e-004	-1.803163e-001
1.500010000000000e-004	-1.810132e-001
1.500011000000000e-004	-1.810368e-001
1.500013000000000e-004	-1.811261e-001
1.500016000000000e-004	-1.813758e-001
1.500020000000000e-004	-1.818474e-001
1.500021200000000e-004	-1.820316e-001
1.500022800000000e-004	-1.822651e-001
1.500026000000000e-004	-1.826920e-001
1.500032400000001e-004	-1.834087e-001
1.500045200000001e-004	-1.844967e-001
1.500059348429576e-004	-1.852967e-001
1.500077334351752e-004	-1.858627e-001
1.500096184650728e-004	-1.861172e-001
1.500120250292909e-004	-1.861499e-001
1.500146935781966e-004	-1.859982e-001
1.500182180649414e-004	-1.856697e-001
1.500224151255208e-004	-1.852324e-001
1.500283371051985e-004	-1.846383e-001
1.500364723375386e-004	-1.839351e-001
