time	V(out)
0.000000000000000e+000	2.499995e-007
3.999999984016789e-011	2.255221e-006
7.999999968033578e-011	7.678023e-006
1.599999993606716e-010	2.904823e-005
3.199999987213431e-010	1.120309e-004
6.399999974426862e-010	3.947399e-004
1.000000000000000e-009	8.281198e-004
1.252000001790120e-009	1.206507e-003
1.540000003835971e-009	1.597483e-003
2.116000007927673e-009	2.264972e-003
3.268000016111078e-009	3.296850e-003
4.694625222921213e-009	4.168440e-003
6.404733691262456e-009	4.771676e-003
8.294036377417125e-009	5.074348e-003
1.057843721880955e-008	5.142936e-003
1.322290458419571e-008	5.015317e-003
1.655308759116610e-008	4.717404e-003
2.064997635017640e-008	4.291022e-003
2.617630310728655e-008	3.726239e-003
3.387830477441906e-008	3.034360e-003
4.713033796516727e-008	2.059949e-003
6.091930122425771e-008	1.274014e-003
7.815897716500750e-008	5.418298e-004
9.652138370822994e-008	-3.982772e-005
1.188592010531534e-007	-5.722897e-004
1.435350614482803e-007	-1.032824e-003
1.745920046072110e-007	-1.510682e-003
2.112649389054421e-007	-2.007570e-003
2.603506744721281e-007	-2.626243e-003
4.231720542282220e-007	-4.594424e-003
9.065582499552241e-007	-1.026522e-002
1.551073177591227e-006	-1.750722e-002
2.043919866506766e-006	-2.297515e-002
2.536766555422306e-006	-2.827944e-002
3.029613244337845e-006	-3.342010e-002
3.522459933253384e-006	-3.839713e-002
4.015306622168923e-006	-4.321053e-002
4.508153311084463e-006	-4.786029e-002
5.001000000000000e-006	-5.234641e-002
5.001100000000000e-006	-5.237089e-002
5.001300000000000e-006	-5.246190e-002
5.001600000000000e-006	-5.271423e-002
5.002000000000001e-006	-5.318923e-002
5.002120000000001e-006	-5.337447e-002
5.002280000000001e-006	-5.360932e-002
5.002600000000001e-006	-5.403896e-002
5.003240000000001e-006	-5.476118e-002
5.004520000000001e-006	-5.586358e-002
5.005881920264249e-006	-5.665231e-002
5.007657512362876e-006	-5.723858e-002
5.009483482104296e-006	-5.751460e-002
5.011854363568863e-006	-5.758113e-002
5.014431699619345e-006	-5.746721e-002
5.017866639413569e-006	-5.718311e-002
5.021880126159601e-006	-5.680046e-002
5.027551622235629e-006	-5.627381e-002
5.035129556992091e-006	-5.566638e-002
5.048832916598211e-006	-5.479144e-002
5.062400686081182e-006	-5.414702e-002
5.079567559800093e-006	-5.357928e-002
5.097972521679016e-006	-5.316571e-002
5.120463515287958e-006	-5.283443e-002
5.145228354663743e-006	-5.259616e-002
5.176458902456758e-006	-5.239633e-002
5.213305305967171e-006	-5.222647e-002
5.262777604733962e-006	-5.204305e-002
5.327600289536306e-006	-5.182629e-002
5.427315744577505e-006	-5.150529e-002
6.080556352495005e-006	-4.946869e-002
6.733796960412505e-006	-4.750397e-002
7.387037568330004e-006	-4.561112e-002
8.040278176247503e-006	-4.379013e-002
8.693518784165003e-006	-4.204102e-002
9.346759392082503e-006	-4.036378e-002
1.000000000000000e-005	-3.875841e-002
1.000010000000000e-005	-3.873459e-002
1.000030000000000e-005	-3.864490e-002
1.000060000000000e-005	-3.839455e-002
1.000100000000000e-005	-3.792218e-002
1.000128000000000e-005	-3.750393e-002
1.000160000000000e-005	-3.707638e-002
1.000224000000000e-005	-3.635836e-002
1.000352000000001e-005	-3.526702e-002
1.000492300448770e-005	-3.446933e-002
1.000671643290808e-005	-3.389855e-002
1.000858813431450e-005	-3.363901e-002
1.001098651384613e-005	-3.359858e-002
1.001363424793539e-005	-3.374154e-002
1.001713813732954e-005	-3.405974e-002
1.002129298234935e-005	-3.448427e-002
1.002715697095160e-005	-3.506256e-002
1.003516191048015e-005	-3.574290e-002
1.005007855292985e-005	-3.676059e-002
1.006391205787055e-005	-3.747814e-002
1.008133495206776e-005	-3.813541e-002
1.009993718022338e-005	-3.864996e-002
1.012306644707291e-005	-3.912089e-002
1.014839038840545e-005	-3.951542e-002
1.018069288275393e-005	-3.992186e-002
1.021870911419862e-005	-4.033798e-002
1.027049973307953e-005	-4.086237e-002
1.062562675769434e-005	-4.427495e-002
1.170383568917097e-005	-5.405964e-002
1.217485916214655e-005	-5.822982e-002
1.264588263512212e-005	-6.227888e-002
1.311690610809770e-005	-6.620681e-002
1.358792958107327e-005	-7.001361e-002
1.405895305404885e-005	-7.369929e-002
1.452997652702443e-005	-7.726384e-002
1.500100000000000e-005	-8.070727e-002
1.500110000000000e-005	-8.073156e-002
1.500130000000000e-005	-8.082222e-002
1.500160000000000e-005	-8.107401e-002
1.500200000000000e-005	-8.154831e-002
1.500212000000000e-005	-8.173333e-002
1.500228000000000e-005	-8.196791e-002
1.500260000000001e-005	-8.239698e-002
1.500324000000001e-005	-8.311806e-002
1.500452000000002e-005	-8.421745e-002
1.500589304122354e-005	-8.500870e-002
1.500767347714968e-005	-8.559080e-002
1.500951181454960e-005	-8.586247e-002
1.501189015739351e-005	-8.592199e-002
1.501448648649623e-005	-8.580033e-002
1.501794004545971e-005	-8.550712e-002
1.502199145680100e-005	-8.511337e-002
1.502771444543000e-005	-8.457305e-002
1.503540530210814e-005	-8.394654e-002
1.504941990410492e-005	-8.303457e-002
1.506290495902757e-005	-8.237696e-002
1.508004726212775e-005	-8.178672e-002
1.509850547284768e-005	-8.134419e-002
1.512112891700860e-005	-8.097490e-002
1.514600351616277e-005	-8.069451e-002
1.517741710767512e-005	-8.044037e-002
1.521447814142577e-005	-8.020578e-002
1.526436173477451e-005	-7.993432e-002
1.532979187717445e-005	-7.960184e-002
1.559720850203573e-005	-7.828896e-002
1.622617871603063e-005	-7.529310e-002
1.685514893002552e-005	-7.239963e-002
1.748411914402042e-005	-6.960855e-002
1.811308935801532e-005	-6.691988e-002
1.874205957201021e-005	-6.433360e-002
1.937102978600511e-005	-6.184971e-002
2.000000000000000e-005	-5.946822e-002
2.000010000000000e-005	-5.944427e-002
2.000030000000000e-005	-5.935432e-002
