Freq.	V(fb)/V(in)
Step Information: K=200m  (Run: 1/7)
1.00000000000000e-001	3.96515219101040e-008,1.25913639814557e-004
1.12201845430196e-001	4.99183075527473e-008,1.41277424296833e-004
1.25892541179417e-001	6.28434243130464e-008,1.58515872684079e-004
1.41253754462275e-001	7.91151813295270e-008,1.77857728019728e-004
1.58489319246111e-001	9.96001082685187e-008,1.99559643993495e-004
1.77827941003892e-001	1.25389101031120e-007,2.23909590461927e-004
1.99526231496888e-001	1.57855515688148e-007,2.51230674466802e-004
2.23872113856834e-001	1.98728304303051e-007,2.81885427433876e-004
2.51188643150958e-001	2.50184087306585e-007,3.16280615412147e-004
2.81838293126445e-001	3.14963065477557e-007,3.54872636142528e-004
3.16227766016838e-001	3.96514944050654e-007,3.98173574515170e-004
3.54813389233575e-001	4.99182639602083e-007,4.46757996687735e-004
3.98107170553497e-001	6.28433552235469e-007,5.01270572905552e-004
4.46683592150963e-001	7.91150718300869e-007,5.62434630014353e-004
5.01187233627272e-001	9.95999347236760e-007,6.31061746926994e-004
5.62341325190348e-001	1.25388825981228e-006,7.08062520051949e-004
6.30957344480192e-001	1.57855079763745e-006,7.94458641084848e-004
7.07945784384137e-001	1.98727613410023e-006,8.91396446793120e-004
7.94328234724280e-001	2.50182992316108e-006,1.00016211969441e-003
8.91250938133744e-001	3.14961330036959e-006,1.12219874006588e-003
9.99999999999999e-001	3.96512193567363e-006,1.25912541376495e-003
1.12201845430196e+000	4.99178280389213e-006,1.41275872714902e-003
1.25892541179417e+000	6.28426643367368e-006,1.58513681021810e-003
1.41253754462275e+000	7.91139768520166e-006,1.77854632224200e-003
1.58489319246111e+000	9.95981993078321e-006,1.99555271083353e-003
1.77827941003892e+000	1.25386075547327e-005,2.23903413592884e-003
1.99526231496888e+000	1.57850720649419e-005,2.51221949461987e-003
2.23872113856834e+000	1.98720704738543e-005,2.81873103134118e-003
2.51188643150958e+000	2.50172042927708e-005,3.16263207048731e-003
2.81838293126445e+000	3.14943976661254e-005,3.54848046482722e-003
3.16227766016837e+000	3.96484690790078e-005,3.98138841243596e-003
3.54813389233575e+000	4.99134692361930e-005,4.46708935608692e-003
3.98107170553496e+000	6.28357562869555e-005,5.01201274016241e-003
4.46683592150962e+000	7.91030287040178e-005,5.62336745801992e-003
5.01187233627271e+000	9.95808484069246e-005,6.30923487261996e-003
5.62341325190348e+000	1.25358577707589e-004,7.07867232792760e-003
6.30957344480192e+000	1.57807142473029e-004,7.94182807761819e-003
7.07945784384136e+000	1.98651643893814e-004,8.91006852561659e-003
7.94328234724279e+000	2.50062600655683e-004,9.99611857787115e-003
8.91250938133743e+000	3.14770545869544e-004,1.12142157148491e-002
9.99999999999997e+000	3.96209868424705e-004,1.25802780645087e-002
1.12201845430196e+001	4.98699221842099e-004,1.41120862222775e-002
1.25892541179416e+001	6.27667575233129e-004,1.58294777383276e-002
1.41253754462275e+001	7.89937102491607e-004,1.77545519481062e-002
1.58489319246111e+001	9.94076645352305e-004,1.99118809860797e-002
1.77827941003892e+001	1.25084247691919e-003,2.23287201560219e-002
1.99526231496887e+001	1.57372653515907e-003,2.50352070082046e-002
2.23872113856833e+001	1.97963612715688e-003,2.80645330560341e-002
2.51188643150957e+001	2.48973314698244e-003,3.14530644714691e-002
2.81838293126444e+001	3.13046473193600e-003,3.52403775783570e-002
3.16227766016837e+001	3.93482031823688e-003,3.94691605735231e-002
3.54813389233574e+001	4.94385106708727e-003,4.41849135220226e-002
3.98107170553496e+001	6.20848467991547e-003,4.94353530561809e-002
4.46683592150961e+001	7.79165866270301e-003,5.52693951928450e-002
5.01187233627270e+001	9.77077353013713e-003,6.17355485845382e-002
5.62341325190347e+001	1.22404275983680e-002,6.88795019060759e-002
6.30957344480191e+001	1.53153277696097e-002,7.67406361214572e-002
7.07945784384135e+001	1.91331644763301e-002,8.53471430353106e-002
7.94328234724278e+001	2.38570807748469e-002,9.47094017671875e-002
8.91250938133742e+001	2.96771444414911e-002,1.04811282712855e-001
9.99999999999995e+001	3.68099459558804e-002,1.15599158678218e-001
1.12201845430196e+002	4.54951148023679e-002,1.26968667842865e-001
1.25892541179416e+002	5.59872341549477e-002,1.38749767831003e-001
1.41253754462275e+002	6.85414687560807e-002,1.50691408871375e-001
1.58489319246111e+002	8.33914151334850e-002,1.62448241485220e-001
1.77827941003891e+002	1.00718517296702e-001,1.73573024702613e-001
1.99526231496887e+002	1.20614124532353e-001,1.83519445532596e-001
2.23872113856833e+002	1.43037948081817e-001,1.91660255534639e-001
2.51188643150957e+002	1.67779864127836e-001,1.97324180546205e-001
2.81838293126444e+002	1.94434594748430e-001,1.99851411455000e-001
3.16227766016836e+002	2.22399136791834e-001,1.98661939069617e-001
3.54813389233574e+002	2.50899483844686e-001,1.93325183916397e-001
3.98107170553495e+002	2.79046157736075e-001,1.83615988294769e-001
4.46683592150961e+002	3.05909438261356e-001,1.69543535828885e-001
5.01187233627270e+002	3.30598632064102e-001,1.51346581093799e-001
5.62341325190346e+002	3.52328508755666e-001,1.29458098898502e-001
6.30957344480190e+002	3.70460873392345e-001,1.04450949208607e-001
