time	V(out)
0.000000000000000e+000	-4.999993e-008
9.765624960978488e-015	7.408279e-003
1.953124992195698e-014	1.481660e-002
1.000000000000000e-012	7.585682e-001
1.014000983389059e-012	7.585666e-001
1.042002950167178e-012	7.585632e-001
1.724784603469599e-010	7.394504e-001
3.439149177437525e-010	7.218582e-001
5.153513751405453e-010	7.057866e-001
6.867878325373380e-010	6.912356e-001
8.582242899341306e-010	6.782051e-001
1.029660747330924e-009	6.666953e-001
1.201097204727716e-009	6.567061e-001
1.586370495030639e-009	6.373255e-001
2.035065554448608e-009	6.203273e-001
2.641013218118342e-009	6.047835e-001
3.409875127900723e-009	5.937514e-001
4.386437627900723e-009	5.890995e-001
5.363000127900723e-009	5.915207e-001
6.339562627900722e-009	5.988922e-001
7.316125127900722e-009	6.094270e-001
8.292687627900723e-009	6.219993e-001
9.269250127900723e-009	6.358867e-001
1.024581262790072e-008	6.506212e-001
1.122237512790072e-008	6.658972e-001
1.219893762790073e-008	6.815137e-001
1.415206262790073e-008	7.132822e-001
1.708175012790073e-008	7.613339e-001
2.335965191361500e-008	8.647331e-001
2.963755369932928e-008	9.640203e-001
3.591545548504355e-008	1.059195e+000
4.219335727075783e-008	1.150259e+000
4.847125905647211e-008	1.237210e+000
5.474916084218638e-008	1.320049e+000
6.102706262790065e-008	1.398776e+000
6.521233048504350e-008	1.447187e+000
6.939759834218634e-008	1.492882e+000
7.358286619932919e-008	1.535861e+000
7.776813405647204e-008	1.576126e+000
8.195340191361489e-008	1.613675e+000
8.613866977075773e-008	1.648509e+000
9.032393762790057e-008	1.680628e+000
9.436969655647198e-008	1.708997e+000
9.841545548504341e-008	1.735394e+000
1.024612144136148e-007	1.759818e+000
1.065069733421863e-007	1.782270e+000
1.105527322707577e-007	1.802750e+000
1.145984911993291e-007	1.821257e+000
1.186442501279005e-007	1.837792e+000
1.224109911993291e-007	1.851893e+000
1.261777322707576e-007	1.864991e+000
1.299444733421862e-007	1.877087e+000
1.337112144136148e-007	1.888180e+000
1.374779554850433e-007	1.898271e+000
1.412446965564719e-007	1.907359e+000
1.450114376279004e-007	1.915444e+000
1.486386697707576e-007	1.922616e+000
1.522659019136147e-007	1.929281e+000
1.558931340564718e-007	1.935441e+000
1.595203661993290e-007	1.941094e+000
1.631475983421861e-007	1.946241e+000
1.667748304850432e-007	1.950881e+000
1.704020626279003e-007	1.955016e+000
1.740292947707575e-007	1.958826e+000
1.776565269136146e-007	1.962366e+000
1.812837590564717e-007	1.965635e+000
1.849109911993289e-007	1.968633e+000
1.885382233421860e-007	1.971360e+000
1.921654554850432e-007	1.973817e+000
1.957926876279003e-007	1.976002e+000
1.994199197707574e-007	1.978017e+000
2.030471519136146e-007	1.979888e+000
2.066743840564717e-007	1.981616e+000
2.103016161993288e-007	1.983200e+000
2.139288483421860e-007	1.984640e+000
2.175560804850431e-007	1.985936e+000
2.211833126279002e-007	1.987089e+000
2.248105447707574e-007	1.988152e+000
2.284377769136145e-007	1.989139e+000
2.320650090564717e-007	1.990049e+000
2.356922411993289e-007	1.990884e+000
2.393194733421860e-007	1.991642e+000
2.429467054850432e-007	1.992325e+000
2.465739376279003e-007	1.992932e+000
2.503406786993290e-007	1.993510e+000
2.541074197707577e-007	1.994046e+000
2.578741608421864e-007	1.994539e+000
2.616409019136150e-007	1.994989e+000
2.654076429850436e-007	1.995396e+000
2.691743840564723e-007	1.995761e+000
2.729411251279010e-007	1.996082e+000
2.768473751279011e-007	1.996387e+000
2.807536251279012e-007	1.996669e+000
2.846598751279013e-007	1.996927e+000
2.885661251279014e-007	1.997162e+000
2.924723751279015e-007	1.997373e+000
2.963786251279016e-007	1.997561e+000
3.002848751279017e-007	1.997725e+000
3.044701429850446e-007	1.997885e+000
3.086554108421876e-007	1.998032e+000
3.128406786993305e-007	1.998166e+000
3.170259465564735e-007	1.998286e+000
3.212112144136165e-007	1.998393e+000
3.253964822707594e-007	1.998486e+000
3.295817501279024e-007	1.998567e+000
3.344645626279025e-007	1.998650e+000
3.393473751279026e-007	1.998725e+000
3.442301876279027e-007	1.998793e+000
3.491130001279028e-007	1.998852e+000
3.539958126279030e-007	1.998902e+000
3.588786251279031e-007	1.998945e+000
3.637614376279032e-007	1.998979e+000
3.698998304850462e-007	1.999016e+000
3.760382233421892e-007	1.999048e+000
3.821766161993322e-007	1.999075e+000
3.883150090564752e-007	1.999097e+000
3.944534019136183e-007	1.999114e+000
4.005917947707612e-007	1.999126e+000
4.067301876279042e-007	1.999133e+000
4.157982679850473e-007	1.999139e+000
4.248663483421904e-007	1.999143e+000
4.339344286993335e-007	1.999143e+000
4.430025090564765e-007	1.999140e+000
4.520705894136197e-007	1.999135e+000
4.611386697707627e-007	1.999126e+000
4.702067501279058e-007	1.999115e+000
5.000010000000000e-007	1.999074e+000
5.000010022009134e-007	1.997405e+000
5.000010066027401e-007	1.994066e+000
5.000019999999999e-007	1.240507e+000
5.000020175767786e-007	1.240509e+000
5.000020527303359e-007	1.240513e+000
5.001898532284217e-007	1.261304e+000
5.003776537265077e-007	1.280281e+000
5.005654542245936e-007	1.297446e+000
5.007532547226796e-007	1.312797e+000
5.009410552207655e-007	1.326334e+000
5.011288557188515e-007	1.338059e+000
5.013166562169374e-007	1.347970e+000
5.017131706930189e-007	1.365787e+000
5.022108524811183e-007	1.381756e+000
5.028512155857702e-007	1.394268e+000
5.037231221268226e-007	1.401416e+000
5.046996846268226e-007	1.400417e+000
5.056762471268227e-007	1.392731e+000
5.066528096268227e-007	1.380576e+000
5.076293721268227e-007	1.365564e+000
5.086059346268227e-007	1.348718e+000
5.095824971268227e-007	1.330704e+000
5.105590596268228e-007	1.311958e+000
5.115356221268228e-007	1.292768e+000
5.125121846268228e-007	1.273324e+000
5.144653096268229e-007	1.234150e+000
5.173949971268229e-007	1.175611e+000
5.213012471268230e-007	1.098645e+000
5.252074971268231e-007	1.024611e+000
5.291137471268232e-007	9.535101e-001
5.330199971268233e-007	8.853421e-001
5.369262471268234e-007	8.201069e-001
5.408324971268235e-007	7.578047e-001
5.447387471268236e-007	6.984354e-001
5.490635239125380e-007	6.372250e-001
5.533883006982523e-007	5.799303e-001
5.577130774839668e-007	5.265512e-001
5.620378542696812e-007	4.770878e-001
5.663626310553956e-007	4.315400e-001
5.706874078411099e-007	3.899079e-001
5.750121846268243e-007	3.521913e-001
5.789184346268244e-007	3.211342e-001
